Rank,CreatorName,Description,CreatorSite,PatreonSite,Instagram,Facebook,Twitter,YouTube,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
75,Michelle Coffee,Michelle Coffee is creating a print + sticker club  (michellecoffee),https://graphtreon.com/creator/michellecoffee,https://www.patreon.com/michellecoffee,https://www.instagram.com/michelle_coffee,0,0,0,239,,,152,19-May
76,Ty Carter,Ty Carter is creating Illustrations (tycarter),https://graphtreon.com/creator/tycarter,https://www.patreon.com/tycarter,0,0,https://twitter.com/tycarterart,https://www.youtube.com/channel/UCbYAXFiHeM8bpL9C_ggOGkg,237,"$4,093 per month",$17.27 per month,1331,16-Feb
77,Daria Cohen,Daria Cohen is creating Animation and Illustrations (DariaCohen),https://graphtreon.com/creator/DariaCohen,https://www.patreon.com/DariaCohen,0,0,https://twitter.com/ChibiDonDC,https://www.youtube.com/channel/UCV2Q52sQybDj3IJV_gz3WVQ?view_as=subscriber,236,"$1,310 per month",$5.55 per month,734,17-Sep
78,Charlie Bowater,Charlie Bowater is creating Illustrations (charliebowater),https://graphtreon.com/creator/charliebowater,https://www.patreon.com/charliebowater,0,0,https://twitter.com/charliebowater,https://www.youtube.com/user/Qhuilla/videos?view_as=subscriber,236,$803 per month,$3.40 per month,736,17-Sep
79,Daria Callie,"Daria Callie is creating oil paintings, painting tutorials and other art-related videos (dariacallie)",https://graphtreon.com/creator/dariacallie,https://www.patreon.com/dariacallie,0,0,0,https://www.youtube.com/dariacallie,235,,,415,18-Aug
80,Alex Steacy,Alex Steacy is creating comics and artwork (alexsteacy),https://graphtreon.com/creator/alexsteacy,https://www.patreon.com/alexsteacy,0,0,https://twitter.com/alexsteacy,https://www.youtube.com/user/crapshotvideo,233,$799 per month,$3.43 per month,1882,14-Aug
81,Lord Gris,"Lord Gris is creating Postcards, Illustrations & Paintings (lordgris)",https://graphtreon.com/creator/lordgris,https://www.patreon.com/lordgris,https://www.instagram.com/lord_gris,https://www.facebook.com/LordGriselda/,0,0,233,"$1,989 per month",$8.54 per month,155,19-Apr
82,Kujo Painting,Kujo Painting is creating Miniature Painting Tutorials (kujopainting),https://graphtreon.com/creator/kujopainting,https://www.patreon.com/kujopainting,0,0,https://twitter.com/kujopainting,https://www.youtube.com/kujopainting,233,$914 per month,$3.92 per month,793,17-Jul
83,Fishball,Fishball is creating My Giant Nerd Boyfriend (fishballishere),https://graphtreon.com/creator/fishballishere,https://www.patreon.com/fishballishere,0,0,0,0,227,,,495,18-May
84,Nipuni,"Nipuni is creating Illustrations, Art videos, Tutorials and Fanart (nipuni)",https://graphtreon.com/creator/nipuni,https://www.patreon.com/nipuni,0,0,https://twitter.com/NipuniDraws,0,221,,,852,17-Jun
85,Jason Porath,Jason Porath is creating Rejected Princesses: illustrations and tales of badass women (rejectedprincesses),https://graphtreon.com/creator/rejectedprincesses,https://www.patreon.com/rejectedprincesses,0,0,https://twitter.com/jasonporath,0,220,,,1076,16-Oct
86,Pauline,Pauline is creating Illustrations (Punziella),https://graphtreon.com/creator/Punziella,https://www.patreon.com/Punziella,0,0,https://twitter.com/punziella,https://www.youtube.com/channel/UCd-GEKMU0-Du7rF74nUHqaA,216,,,936,17-Mar
87,Oliver Späth,Oliver Späth is creating Miniature Art (Oliver_Spaeth),https://graphtreon.com/creator/Oliver_Spaeth,https://www.patreon.com/Oliver_Spaeth,0,0,0,0,214,,,602,18-Feb
88,punimelt,punimelt is creating small + big things (punimelt),https://graphtreon.com/creator/punimelt,https://www.patreon.com/punimelt,https://www.instagram.com/punimelt,0,https://twitter.com/punimelt,0,205,,,1001,17-Jan
89,Goro Fujita,Goro Fujita is creating Live Painting and Animation Tutorials -  Art Prints (goro),https://graphtreon.com/creator/goro,https://www.patreon.com/goro,https://www.instagram.com/goro.fujita,0,https://twitter.com/gorosart,https://www.youtube.com/channel/UCbTQ4StJhp1RDisqUTuJSZg,203,,,1240,16-May
90,Bryan Schiavone,Bryan Schiavone is creating drawings and lessons (bryanthegirl),https://graphtreon.com/creator/bryanthegirl,https://www.patreon.com/bryanthegirl,https://www.instagram.com/bryanthegirl,0,0,https://www.youtube.com/channel/UCaC9jwegtLnCO1BeHCuh_jw,202,,,463,18-Jun
91,Camilla d'Errico,Camilla d'Errico is creating Pop Surrealist Manga Art (camilladerrico),https://graphtreon.com/creator/camilladerrico,https://www.patreon.com/camilladerrico,0,0,https://twitter.com/Helmetgirl,https://www.youtube.com/user/camilladerrico,201,,,748,17-Sep
92,Sergey Kolesov,Sergey Kolesov is creating artworks and videos (peleng),https://graphtreon.com/creator/peleng,https://www.patreon.com/peleng,https://www.instagram.com/peleng_square,0,0,https://www.youtube.com/channel/UC6aX7aA_01I7cX9BtO1cdhA,199,$580 per month,$2.91 per month,1731,15-Jan
93,John Larriva,"John Larriva is creating Paintings, Demos, and Sketches (johnlarriva)",https://graphtreon.com/creator/johnlarriva,https://www.patreon.com/johnlarriva,0,0,https://twitter.com/vialjarhorn,https://www.youtube.com/user/LarrivaArt,198,,,1433,15-Oct
94,Sibylline Meynet,Sibylline Meynet is creating illustrations (sibyllinem),https://graphtreon.com/creator/sibyllinem,https://www.patreon.com/sibyllinem,0,0,https://twitter.com/sibylline_m,https://www.youtube.com/sibyllinemeynet,195,"$1,910 per month",$9.79 per month,738,17-Sep
95,minusT,"minusT is creating Fanarts, Paintings and Animations (tauminust)",https://graphtreon.com/creator/tauminust,https://www.patreon.com/tauminust,0,0,https://twitter.com/tauminust,https://www.youtube.com/user/0minusT,194,,,1412,15-Nov
96,Unmask Art,Unmask Art is creating Colored Pencil & Pastel Tutorials  (UnmaskArt),https://graphtreon.com/creator/UnmaskArt,https://www.patreon.com/UnmaskArt,0,0,https://twitter.com/UnmaskArt,https://www.youtube.com/UnmaskArt,194,"$1,031 per month",$5.31 per month,1582,15-Jun
97,Paper Panda,"Paper Panda is creating Artwork, Downloads and Smiles! (paperpanda)",https://graphtreon.com/creator/paperpanda,https://www.patreon.com/paperpanda,0,0,https://twitter.com/paperpandacuts,https://www.youtube.com/user/PaperPandaCuts,191,,,1059,16-Nov
98,ColorByFeliks,ColorByFeliks is creating Acrylic Painting For All :D (colorbyfeliks),https://graphtreon.com/creator/colorbyfeliks,https://www.patreon.com/colorbyfeliks,https://www.instagram.com/colorbyfeliks,https://www.facebook.com/ColorByFeliks/,0,https://www.youtube.com/channel/UCPRuDp5qn2_Q41sE-bfP4uA/featured?view_as=subscriber,191,,,634,18-Jan
99,A Stranger Dream,A Stranger Dream is creating Horror Illustrations & Bookmarks (astrangerdream),https://graphtreon.com/creator/astrangerdream,https://www.patreon.com/astrangerdream,https://www.instagram.com/astrangerdream,0,0,0,190,"$1,383 per month",$7.28 per month,364,18-Oct
100,missmonster,"missmonster is creating mold/casting , toy, costume, prop and painting tutorials! (missmonster)",https://graphtreon.com/creator/missmonster,https://www.patreon.com/missmonster,0,0,https://twitter.com/missmonstermel,0,188,"$1,247 per month",$6.63 per month,1089,16-Oct
101,nixelpixel,nixelpixel is creating видео и активизм! (nixelpixel),https://graphtreon.com/creator/nixelpixel,https://www.patreon.com/nixelpixel,0,0,https://twitter.com/nixelpixel,https://www.youtube.com/nixelpixel,185,$888 per month,$4.80 per month,772,17-Aug
102,Amy Brown Art,Amy Brown Art is creating art - watercolor paintings (amybrownart),https://graphtreon.com/creator/amybrownart,https://www.patreon.com/amybrownart,https://www.instagram.com/amybrownart,0,https://twitter.com/amybrownart,0,182,,,924,17-Mar
103,Katie,Katie is creating Comics & Illustrations (strangelykatie),https://graphtreon.com/creator/strangelykatie,https://www.patreon.com/strangelykatie,0,0,https://twitter.com/strangelykatie,0,181,$744 per month,$4.11 per month,1465,15-Sep
